no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,gender,marital_status,age,employment_type,years_at_current_job,previous_defaults,collateral_value,region,emi_ratio,target
3,Graduate,Yes,5822086,512674,120,418,6794211,580318,Male,Divorced,28,Student,20,0,3819,Urban,0.09,0
4,Graduate,No,3734548,2907340,6,842,9721291,639472,Male,Single,31,Business,12,0,8531200,Rural,0.78,1
4,Graduate,Yes,941402,13001704,36,803,815453,3366945,Female,Single,45,Salaried,2,0,9813986,Rural,13.81,1
4,Graduate,Yes,1820858,1247200,120,398,6191334,4831729,Male,Divorced,23,Govt Job,8,1,4891967,Urban,0.68,0
0,Not Graduate,No,9487520,2143817,120,839,6505402,3027991,Male,Divorced,39,Govt Job,9,0,3816076,Urban,0.23,1
2,Graduate,No,6781008,15134709,12,751,2785955,3263614,Male,Married,21,Govt Job,26,0,575138,Rural,2.23,1
4,Graduate,Yes,2246745,7819049,12,675,3652099,121353,Female,Married,45,Business,15,0,6763541,Semi-Urban,3.48,1
1,Not Graduate,Yes,6800195,3415808,36,679,8960754,2811173,Male,Married,61,Business,26,1,1329641,Semi-Urban,0.5,0
0,Graduate,Yes,8986210,6151406,60,649,6118550,560084,Female,Married,47,Business,1,0,1677062,Urban,0.68,1
3,Not Graduate,Yes,305392,782192,180,888,2037956,3261994,Female,Married,52,Salaried,4,0,7939448,Rural,2.56,1
2,Not Graduate,No,3347851,8035810,180,700,8236074,819281,Female,Divorced,29,Govt Job,3,0,8648204,Urban,2.4,1
3,Graduate,No,9637160,13339061,240,895,5673008,4485733,Female,Single,34,Business,7,0,3385336,Urban,1.38,1
0,Not Graduate,Yes,9401037,898379,180,718,5681585,3275412,Male,Divorced,51,Salaried,9,0,7767639,Semi-Urban,0.1,1
4,Not Graduate,Yes,2966610,17308791,12,631,7066532,4487794,Female,Divorced,63,Business,12,0,694934,Rural,5.83,0
1,Not Graduate,No,9854799,3924771,6,712,3901484,2867308,Female,Married,39,Salaried,18,0,4889743,Urban,0.4,0
4,Not Graduate,No,5705717,587037,36,534,9260309,2281937,Female,Divorced,56,Retired,1,1,4967940,Urban,0.1,0
3,Graduate,No,3856057,412664,12,553,8633879,578467,Male,Single,29,Govt Job,5,1,3558812,Rural,0.11,0
2,Not Graduate,No,4107699,235914,120,710,7640823,3306975,Male,Single,37,Salaried,22,0,6669822,Urban,0.06,1
3,Graduate,No,5779548,8896732,60,772,3754198,2023077,Male,Divorced,38,Business,1,0,7503917,Semi-Urban,1.54,1
2,Not Graduate,Yes,2039339,1650090,180,367,2121866,1375456,Female,Divorced,47,Salaried,26,1,2492409,Rural,0.81,0
4,Not Graduate,Yes,3555187,10648306,6,640,8798656,4150070,Female,Single,60,Retired,15,0,464096,Rural,3.0,0
0,Not Graduate,No,7643514,11435663,60,311,8153409,3299655,Female,Divorced,44,Business,6,0,1339900,Semi-Urban,1.5,0
3,Graduate,Yes,3016377,15542116,24,759,7769109,3279890,Male,Married,43,Salaried,15,0,1716688,Rural,5.15,1
3,Not Graduate,Yes,9913918,12170449,6,581,3279817,1539686,Male,Divorced,45,Business,23,0,1237,Semi-Urban,1.23,0
0,Not Graduate,No,6710953,217122,180,602,5130235,3619233,Female,Divorced,24,Retired,18,1,4860098,Urban,0.03,0
1,Graduate,No,2560958,3001669,120,862,8026501,4385514,Male,Single,34,Salaried,18,0,8604177,Urban,1.17,1
2,Not Graduate,Yes,2385619,18705561,24,585,5226838,490141,Female,Single,59,Govt Job,17,0,4545728,Urban,7.84,0
3,Graduate,No,5406394,8963431,240,869,7686556,1399636,Female,Single,60,Business,14,0,5938633,Rural,1.66,1
3,Graduate,Yes,5038498,8610216,6,791,1934502,2931689,Male,Married,60,Govt Job,13,0,2568790,Rural,1.71,1
1,Not Graduate,Yes,2595874,6453515,240,644,9548765,1734317,Female,Divorced,58,Govt Job,23,0,5170826,Semi-Urban,2.49,1
1,Graduate,No,7900049,9555966,6,677,6736933,713876,Female,Single,26,Govt Job,18,0,23539,Urban,1.21,0
1,Not Graduate,Yes,3174924,10600071,240,823,6688593,550189,Male,Single,44,Business,17,0,2227652,Urban,3.34,1
3,Not Graduate,Yes,1531505,865446,180,894,9501805,1432717,Male,Divorced,46,Business,8,0,7213328,Urban,0.57,1
2,Not Graduate,No,238392,18633366,240,677,354596,2687990,Male,Single,59,Business,25,0,4164172,Semi-Urban,78.16,1
3,Not Graduate,Yes,6344885,6722703,180,785,2685730,3653794,Male,Married,40,Business,26,0,208740,Urban,1.06,1
4,Not Graduate,No,9473881,18658930,36,711,2884051,3238946,Female,Married,51,Business,4,0,750695,Rural,1.97,1
0,Graduate,No,9511277,10866025,240,628,2495878,1153293,Female,Married,52,Salaried,22,0,7453671,Urban,1.14,1
1,Not Graduate,Yes,835373,13217545,36,746,8240972,3590060,Male,Divorced,30,Business,3,0,4659323,Semi-Urban,15.82,1
1,Graduate,Yes,8852617,15920930,60,723,6045981,4908827,Male,Divorced,21,Business,24,0,3734078,Semi-Urban,1.8,1
0,Not Graduate,Yes,6522729,6289213,24,767,3942944,4617548,Female,Married,64,Business,15,0,5760847,Semi-Urban,0.96,1
2,Not Graduate,No,2460717,7492964,24,810,5776327,1358199,Female,Divorced,49,Govt Job,6,0,5404980,Urban,3.05,1
0,Not Graduate,Yes,5893420,16908163,60,683,3293984,4235787,Female,Single,56,Salaried,18,0,8686786,Rural,2.87,1
2,Not Graduate,No,7368067,17215042,12,678,9954480,4197335,Male,Single,25,Salaried,23,0,102206,Semi-Urban,2.34,1
3,Not Graduate,No,3582896,17625784,12,661,3629153,1281742,Male,Divorced,28,Salaried,15,0,4423411,Semi-Urban,4.92,1
4,Not Graduate,Yes,9108589,6081524,12,813,7002513,538291,Male,Married,56,Business,24,0,4265431,Urban,0.67,1
1,Graduate,Yes,8909420,10920950,240,647,1510003,436652,Female,Married,61,Govt Job,19,0,1444575,Urban,1.23,1
4,Graduate,No,7571988,1493358,120,897,3057368,4978086,Female,Single,61,Business,17,0,8730730,Urban,0.2,1
2,Not Graduate,Yes,3627601,11813844,24,370,8716541,942517,Male,Married,58,Retired,24,0,1572023,Rural,3.26,0
2,Graduate,Yes,1487907,10984133,180,491,8585723,1218954,Female,Married,24,Retired,21,0,2136439,Urban,7.38,0
4,Not Graduate,No,1181065,8879037,180,824,6821383,3731335,Female,Single,25,Business,24,0,9705323,Semi-Urban,7.52,1
1,Not Graduate,No,4163917,14674848,12,390,7390941,4873577,Male,Single,23,Govt Job,12,0,2673808,Urban,3.52,0
4,Not Graduate,No,6007699,8944120,24,624,4200398,36205,Male,Single,34,Govt Job,7,0,1948329,Urban,1.49,0
4,Not Graduate,No,1941109,9941229,120,891,2832127,3584663,Female,Divorced,37,Salaried,15,0,9824653,Semi-Urban,5.12,1
0,Not Graduate,Yes,9753810,13923675,60,712,6184730,3103267,Male,Divorced,41,Business,19,0,1332241,Urban,1.43,1
3,Not Graduate,Yes,3028591,18499808,180,648,7858142,4227849,Female,Divorced,64,Business,21,0,3102813,Urban,6.11,1
4,Not Graduate,No,3366049,9370890,24,883,1046841,227784,Female,Divorced,47,Business,22,0,1194018,Semi-Urban,2.78,1
3,Not Graduate,No,9897552,12859308,180,449,4137167,2213583,Male,Married,43,Salaried,6,1,170518,Semi-Urban,1.3,0
1,Not Graduate,Yes,1121350,17680091,240,345,5277489,3868830,Female,Single,52,Retired,10,1,2906029,Rural,15.77,0
1,Graduate,No,4769167,3819463,240,723,5091896,3403978,Male,Divorced,62,Govt Job,24,0,8854769,Rural,0.8,1
3,Not Graduate,Yes,4854119,15109777,36,503,6715818,2907182,Male,Married,29,Govt Job,6,0,4296832,Urban,3.11,0
1,Graduate,Yes,632451,8733807,120,610,1520742,4645254,Male,Divorced,23,Business,29,0,6684916,Rural,13.81,1
2,Not Graduate,No,1007434,8615010,36,401,7987947,2456767,Female,Divorced,49,Student,15,0,1729218,Semi-Urban,8.55,0
3,Graduate,No,4528039,8851244,36,648,1333754,2272919,Male,Divorced,47,Salaried,6,0,6788871,Urban,1.95,1
2,Not Graduate,No,3184858,9891060,24,724,7483827,3121931,Male,Married,24,Business,6,0,1509676,Urban,3.11,0
1,Graduate,Yes,1906654,18197864,180,681,5046641,1564393,Male,Single,31,Retired,9,1,1753695,Rural,9.54,0
1,Not Graduate,No,9127301,7621198,120,835,6112980,1124734,Male,Married,56,Govt Job,22,0,3182678,Rural,0.83,1
4,Not Graduate,Yes,5161208,17562340,120,340,9773652,4704202,Female,Divorced,55,Retired,23,0,1388181,Semi-Urban,3.4,0
1,Not Graduate,Yes,7427489,14725197,180,460,2671572,3205057,Female,Single,45,Govt Job,9,1,2897530,Semi-Urban,1.98,0
1,Graduate,No,4303119,7122400,240,643,2014526,4933732,Male,Single,29,Salaried,8,0,7067079,Urban,1.66,1
4,Not Graduate,No,5044485,15744015,60,582,2356044,3544160,Male,Divorced,61,Retired,28,1,3602123,Rural,3.12,0
4,Graduate,Yes,9440819,6802152,24,814,7325362,4229486,Female,Divorced,34,Govt Job,8,0,7898275,Rural,0.72,1
3,Not Graduate,No,4577928,6322204,12,615,8644260,4573135,Female,Divorced,23,Salaried,7,1,4286497,Semi-Urban,1.38,0
4,Not Graduate,No,3777225,9306177,180,647,939369,4596465,Female,Single,57,Salaried,17,0,1927214,Rural,2.46,1
4,Graduate,Yes,4726592,1043903,240,837,8169083,421357,Female,Divorced,27,Salaried,17,0,1103228,Rural,0.22,1
4,Not Graduate,No,5883395,4527874,6,621,627768,4027269,Female,Single,32,Retired,24,1,3080795,Semi-Urban,0.77,0
4,Graduate,No,2435247,15934650,240,662,7280436,4867612,Female,Single,47,Govt Job,2,1,4718275,Urban,6.54,0
3,Graduate,Yes,1665455,10269821,60,865,947410,1817682,Male,Single,38,Business,4,0,529129,Urban,6.17,1
4,Not Graduate,No,6825510,5224654,12,396,9721357,3356946,Male,Married,34,Retired,12,0,1882883,Rural,0.77,0
1,Not Graduate,Yes,4256720,18274387,240,618,6966189,2877365,Female,Single,39,Salaried,19,0,1102413,Semi-Urban,4.29,0
3,Graduate,No,1133325,18076011,6,705,4998616,1155368,Male,Married,36,Govt Job,15,0,4925454,Semi-Urban,15.95,0
2,Graduate,Yes,7564312,4514572,120,496,3339652,1990968,Female,Single,25,Salaried,3,0,2438681,Semi-Urban,0.6,0
4,Graduate,Yes,6874881,3768970,36,816,7041277,138350,Female,Single,21,Salaried,6,0,7926552,Urban,0.55,1
0,Not Graduate,Yes,5517125,2630446,60,892,7969815,2195014,Female,Single,25,Govt Job,16,0,9893102,Semi-Urban,0.48,1
2,Graduate,Yes,4007973,18747195,120,422,7880072,399826,Male,Single,48,Retired,27,1,3109913,Urban,4.68,0
0,Graduate,Yes,8216794,7299469,240,822,3848552,448313,Male,Married,24,Business,17,0,1792720,Rural,0.89,1
4,Not Graduate,No,6858551,6319356,6,805,4464516,3629007,Female,Single,22,Salaried,17,0,2417420,Rural,0.92,1
2,Not Graduate,Yes,3994516,9108379,240,656,2073000,4496268,Female,Single,64,Salaried,19,0,2030293,Urban,2.28,0
4,Graduate,Yes,3514214,1571359,36,677,258512,4314118,Male,Married,22,Govt Job,3,0,7210728,Semi-Urban,0.45,1
1,Not Graduate,No,6860771,16190847,36,530,7277205,4605276,Female,Divorced,55,Retired,20,0,2732277,Rural,2.36,0
2,Graduate,Yes,4204831,2430698,60,455,3244881,4102125,Male,Divorced,23,Govt Job,4,1,1373755,Urban,0.58,0
2,Not Graduate,No,727379,18159540,60,844,6638388,1641102,Female,Single,51,Salaried,4,0,9048093,Semi-Urban,24.97,1
2,Graduate,No,6125130,1383634,120,698,8088459,4369731,Male,Married,36,Business,5,0,819423,Urban,0.23,1
2,Graduate,No,8472047,18102811,120,626,7611903,2740156,Male,Married,25,Salaried,16,0,182010,Rural,2.14,1
4,Not Graduate,Yes,2299005,11774596,12,548,221792,673469,Male,Single,45,Salaried,12,0,833110,Urban,5.12,0
0,Not Graduate,Yes,6666656,14676001,60,415,2401744,1334095,Male,Divorced,29,Student,0,1,624608,Semi-Urban,2.2,0
1,Graduate,Yes,7057217,17258368,6,701,8970126,4016192,Female,Single,50,Business,1,1,711129,Rural,2.45,0
4,Graduate,Yes,3309437,12490909,24,587,8135092,1977050,Male,Divorced,36,Govt Job,5,0,1230854,Semi-Urban,3.77,0
0,Graduate,Yes,6033833,11549510,24,631,8765330,3466068,Male,Married,39,Business,27,0,7746734,Semi-Urban,1.91,1
0,Not Graduate,No,2342596,13144412,240,738,2521451,903105,Male,Divorced,55,Student,22,0,2247703,Semi-Urban,5.61,0
2,Not Graduate,Yes,2695119,18327514,180,780,3190838,866665,Male,Single,33,Business,3,0,5229542,Semi-Urban,6.8,1
3,Not Graduate,No,2346980,12751534,6,527,9811977,575495,Male,Single,39,Salaried,14,0,1620692,Urban,5.43,0
1,Not Graduate,No,8514126,14646184,36,685,4640424,4044233,Male,Married,23,Govt Job,11,0,7917928,Urban,1.72,1
2,Not Graduate,Yes,3971545,18089229,36,807,2547783,691561,Male,Married,39,Salaried,8,0,5454441,Rural,4.55,1
0,Not Graduate,Yes,8045001,17577960,36,545,4670324,470998,Male,Single,32,Retired,6,1,1851386,Rural,2.18,0
3,Not Graduate,No,1250602,11779380,36,775,7460337,807454,Male,Married,45,Govt Job,11,0,6084666,Urban,9.42,1
2,Graduate,No,3009244,7818384,6,835,3092396,1381568,Male,Married,29,Govt Job,22,0,3076622,Semi-Urban,2.6,1
3,Not Graduate,Yes,6026057,10600050,24,482,7111407,4853082,Female,Married,44,Salaried,16,1,3401932,Urban,1.76,0
2,Graduate,Yes,8531754,8704162,36,551,937918,2788466,Male,Married,55,Govt Job,8,1,1280995,Semi-Urban,1.02,0
1,Not Graduate,Yes,2750774,17146374,60,751,522750,1690308,Male,Married,64,Business,20,0,1856273,Semi-Urban,6.23,1
1,Not Graduate,Yes,8736463,15784085,24,324,3027825,763524,Male,Divorced,23,Retired,4,0,2756025,Urban,1.81,0
2,Not Graduate,Yes,7082806,3690621,24,638,7468026,2223362,Male,Divorced,33,Salaried,3,0,2709318,Rural,0.52,1
1,Not Graduate,Yes,9735233,4120614,60,884,825126,3244783,Male,Divorced,55,Business,27,0,1685976,Urban,0.42,1
1,Not Graduate,Yes,3879530,19554531,12,700,6231368,1900962,Female,Divorced,42,Business,20,0,4533252,Rural,5.04,0
3,Not Graduate,No,5834440,15871439,240,324,3871005,2666640,Male,Married,62,Retired,16,0,3825400,Semi-Urban,2.72,0
1,Graduate,No,3551784,18323273,180,368,9684496,745181,Female,Divorced,56,Student,18,1,3081325,Semi-Urban,5.16,0
0,Graduate,Yes,5158267,12183395,36,716,6449680,468812,Male,Single,44,Business,11,0,9252689,Urban,2.36,1
1,Graduate,No,8484792,5858417,180,473,9284392,2899496,Female,Divorced,33,Govt Job,29,1,3115427,Semi-Urban,0.69,0
3,Not Graduate,No,9739201,8928933,12,736,7438953,3696845,Female,Divorced,30,Govt Job,4,0,2532169,Semi-Urban,0.92,1
0,Graduate,No,6848215,18970726,60,345,2681655,1547664,Female,Single,61,Salaried,12,0,3806238,Semi-Urban,2.77,0
1,Graduate,No,9185789,6081071,240,661,4419274,54364,Male,Single,45,Student,28,1,4125228,Semi-Urban,0.66,0
2,Not Graduate,Yes,836208,12704242,180,808,6097901,1360311,Male,Married,42,Govt Job,28,0,9843627,Rural,15.19,1
3,Not Graduate,Yes,7204731,2130027,24,865,2296041,1943464,Male,Married,27,Govt Job,23,0,6677056,Urban,0.3,1
0,Not Graduate,No,8046046,11589396,36,330,3329671,298450,Female,Single,29,Govt Job,2,1,2866982,Semi-Urban,1.44,0
0,Not Graduate,No,422088,3434142,36,478,6858320,2651078,Female,Married,44,Retired,12,0,1742038,Semi-Urban,8.14,0
1,Graduate,No,3046613,14991837,60,340,7743854,4526729,Male,Married,52,Retired,1,1,3352910,Rural,4.92,0
3,Graduate,No,2392471,7783490,120,826,8756581,4936590,Female,Divorced,26,Salaried,1,0,4951325,Rural,3.25,1
0,Not Graduate,Yes,6633987,1629513,12,408,8905197,1342745,Female,Single,57,Salaried,18,1,4163079,Urban,0.25,0
1,Graduate,No,9178236,1608839,240,388,8201406,2276848,Male,Divorced,30,Business,9,0,3197179,Urban,0.18,0
0,Not Graduate,Yes,6086952,4721940,12,618,145587,217608,Female,Single,60,Business,16,0,3842440,Urban,0.78,1
3,Not Graduate,No,7774807,15367093,180,895,4574207,3576465,Male,Single,22,Salaried,21,0,3399465,Semi-Urban,1.98,1
3,Not Graduate,Yes,1772087,13024972,36,350,6629597,3649269,Female,Married,53,Salaried,11,0,4273401,Urban,7.35,0
0,Not Graduate,Yes,3694257,1934444,36,784,6139263,4956192,Female,Married,32,Salaried,26,0,6973311,Semi-Urban,0.52,1
2,Graduate,Yes,6483430,17998847,240,550,4547592,3890032,Female,Single,27,Student,8,0,1301042,Rural,2.78,0
1,Graduate,Yes,8762046,15172160,180,696,2838932,4675258,Female,Single,21,Govt Job,29,0,6642427,Rural,1.73,1
1,Graduate,Yes,1556045,15613603,36,644,8494147,2005631,Female,Single,21,Retired,5,0,78473,Urban,10.03,0
0,Not Graduate,No,1576541,10541234,120,731,3835541,1160369,Male,Divorced,56,Govt Job,26,0,1901835,Semi-Urban,6.69,1
2,Graduate,No,2389475,14260120,24,457,9972748,3875437,Female,Married,50,Business,13,1,2255139,Rural,5.97,0
2,Not Graduate,Yes,5145791,2493153,120,489,3995991,2882142,Male,Divorced,45,Retired,21,0,2889945,Urban,0.48,0
4,Graduate,No,7940652,12044439,120,351,2824675,3913319,Female,Married,35,Business,2,0,873148,Rural,1.52,0
4,Not Graduate,Yes,2173202,15275522,24,718,9578735,1028442,Male,Married,64,Business,10,0,778003,Rural,7.03,1
3,Graduate,No,4552766,7959643,24,558,7507254,1678770,Female,Single,64,Student,26,0,1511508,Urban,1.75,0
4,Not Graduate,No,8338741,19927456,36,639,2274586,1573111,Male,Divorced,46,Govt Job,17,0,1831495,Urban,2.39,1
3,Graduate,No,510909,6143761,24,698,8323195,1325447,Female,Married,28,Salaried,18,1,4054404,Semi-Urban,12.03,0
4,Not Graduate,No,8802564,15717138,12,662,8320039,4513452,Male,Single,40,Salaried,14,0,2623432,Semi-Urban,1.79,1
1,Graduate,No,7635549,11776735,12,801,3307536,1603165,Female,Divorced,26,Business,11,0,8205022,Semi-Urban,1.54,1
2,Not Graduate,Yes,4068929,8325605,60,536,4552184,2944005,Male,Married,59,Govt Job,16,0,3295976,Urban,2.05,0
1,Not Graduate,Yes,8877362,9933643,12,560,2031882,4658397,Male,Married,39,Salaried,9,1,2500824,Rural,1.12,0
0,Graduate,Yes,8748936,827837,36,507,4913861,4273008,Female,Single,33,Student,3,0,1387244,Rural,0.09,0
2,Graduate,No,2097090,9285881,60,709,6508375,3892210,Male,Married,50,Salaried,15,0,4858049,Semi-Urban,4.43,1
4,Not Graduate,No,1394910,3309969,12,792,6289953,4285341,Male,Single,57,Salaried,29,0,9858519,Rural,2.37,1
4,Graduate,Yes,4655219,9175998,24,707,6532149,1759972,Female,Single,25,Govt Job,28,1,1857865,Semi-Urban,1.97,0
1,Graduate,Yes,9973756,11178793,180,653,2490825,273675,Female,Single,53,Business,7,0,3854507,Urban,1.12,1
2,Graduate,No,9078330,4924610,36,668,678583,740394,Female,Divorced,25,Business,19,0,1183681,Semi-Urban,0.54,0
3,Not Graduate,No,8154233,3652230,60,382,8348480,2382486,Female,Single,53,Retired,4,0,2297391,Urban,0.45,0
4,Graduate,No,6603453,15764132,60,747,5663269,295339,Female,Single,63,Salaried,6,0,6039639,Rural,2.39,1
1,Graduate,No,3030581,8388969,180,877,2780195,3337423,Male,Single,27,Salaried,15,0,3945359,Semi-Urban,2.77,1
3,Not Graduate,Yes,5049822,10630678,180,424,489142,1557448,Female,Married,57,Govt Job,27,0,4927963,Rural,2.11,0
4,Graduate,Yes,1049001,16693831,120,683,1149860,1476086,Female,Married,23,Govt Job,2,0,169930,Semi-Urban,15.91,1
0,Not Graduate,Yes,9625867,7797139,240,724,841799,1173414,Male,Single,46,Business,3,0,6507152,Semi-Urban,0.81,1
1,Graduate,Yes,8590642,9437498,240,710,7966343,2046291,Female,Single,63,Business,16,0,3355748,Rural,1.1,0
2,Not Graduate,No,8260608,16158699,6,357,5704138,1984850,Male,Divorced,32,Student,18,0,2962762,Urban,1.96,0
0,Graduate,Yes,3643147,1073120,60,883,9940162,1955494,Female,Married,58,Business,5,0,4727960,Urban,0.29,1
1,Not Graduate,No,5676497,4658759,24,762,8284292,1988736,Male,Single,36,Business,26,0,4028823,Urban,0.82,1
2,Graduate,No,9377843,14914928,180,667,637234,3909140,Male,Married,40,Business,19,0,4904409,Urban,1.59,1
4,Not Graduate,Yes,9119310,11473287,180,869,3520752,4613349,Male,Divorced,35,Business,14,0,7661266,Semi-Urban,1.26,1
1,Not Graduate,Yes,1646831,9729699,240,367,1274319,2012698,Male,Single,50,Retired,6,1,3129568,Semi-Urban,5.91,0
3,Not Graduate,No,9663621,4087035,180,832,2486474,1348810,Male,Single,49,Salaried,28,0,8517804,Urban,0.42,1
1,Graduate,Yes,2399842,10147082,60,320,4480242,4122862,Male,Single,41,Business,3,0,1295112,Urban,4.23,0
2,Graduate,Yes,1399183,17867019,180,347,6558792,173203,Female,Married,38,Salaried,24,0,4807061,Rural,12.77,0
0,Graduate,No,4310384,10278711,240,515,9993355,4220911,Female,Married,28,Retired,15,0,1111598,Urban,2.38,0
3,Not Graduate,No,4284373,9729352,12,762,2237190,1135061,Female,Divorced,34,Business,23,0,8637674,Semi-Urban,2.27,1
3,Graduate,Yes,7217280,7746752,6,691,3116405,951730,Female,Single,57,Salaried,3,0,1784766,Rural,1.07,1
0,Not Graduate,Yes,5936758,8518129,120,439,4805201,4759116,Female,Married,55,Retired,2,0,506166,Rural,1.43,0
1,Graduate,Yes,7556949,11967344,36,667,417756,3932620,Male,Divorced,64,Business,29,0,3200236,Semi-Urban,1.58,0
4,Not Graduate,Yes,8605330,17628024,36,625,5146807,1721668,Female,Divorced,47,Salaried,24,0,4242670,Urban,2.05,0
3,Not Graduate,No,8485716,7500560,24,709,6731859,825811,Male,Married,53,Salaried,26,0,813726,Rural,0.88,0
2,Not Graduate,Yes,4009034,7764049,60,636,855147,483152,Male,Divorced,57,Govt Job,12,0,1489962,Rural,1.94,1
2,Not Graduate,No,7402458,12364832,6,831,3932632,1973113,Female,Single,25,Salaried,27,0,8104462,Semi-Urban,1.67,1
4,Not Graduate,Yes,5308226,10211997,6,607,4528283,2010525,Male,Divorced,22,Salaried,13,0,864186,Urban,1.92,1
1,Not Graduate,Yes,4718480,19834040,180,622,7501129,2059880,Female,Single,25,Business,17,0,1789997,Urban,4.2,0
0,Not Graduate,No,9385282,18398812,12,785,9656448,1700262,Female,Married,23,Salaried,28,0,2139133,Urban,1.96,1
0,Not Graduate,No,3116307,6158983,24,888,439777,1507524,Male,Divorced,30,Govt Job,10,0,2823049,Semi-Urban,1.98,1
0,Graduate,No,1591786,9924346,12,862,3426165,564180,Female,Divorced,49,Govt Job,11,0,9413337,Semi-Urban,6.23,1
1,Graduate,No,6380373,17051399,36,395,1392823,2392694,Male,Divorced,21,Salaried,26,0,2159090,Urban,2.67,0
1,Graduate,Yes,9601534,18520109,60,521,6040524,879990,Female,Single,29,Retired,6,1,546020,Urban,1.93,0
4,Not Graduate,No,9242477,15623054,240,855,7553918,1633961,Female,Single,54,Salaried,28,0,9056362,Urban,1.69,1
0,Graduate,No,5706082,3784777,240,609,5762325,2943778,Male,Married,41,Student,27,0,4492514,Urban,0.66,0
1,Graduate,No,3828350,19102917,36,651,1928200,3388304,Male,Single,58,Salaried,20,0,4171237,Semi-Urban,4.99,1
2,Graduate,Yes,6475905,924400,60,484,8131725,375840,Female,Divorced,31,Salaried,22,0,3453745,Semi-Urban,0.14,0
0,Not Graduate,Yes,5452774,952408,120,860,4171082,2117864,Female,Divorced,60,Govt Job,2,0,3274359,Semi-Urban,0.17,1
3,Not Graduate,Yes,3828773,8834225,240,707,8408764,2838692,Female,Married,33,Business,24,0,9146684,Rural,2.31,1
4,Not Graduate,No,8553858,16203770,180,413,4640806,3446404,Male,Single,26,Govt Job,0,0,4565697,Urban,1.89,0
0,Graduate,Yes,8895707,13062267,36,521,7382169,1493139,Female,Married,46,Student,3,0,1600012,Urban,1.47,0
0,Graduate,Yes,8412213,1429780,120,745,4971714,1472684,Male,Divorced,41,Business,22,1,2216777,Semi-Urban,0.17,0
4,Not Graduate,No,6474308,5949426,60,322,849259,4324957,Male,Divorced,50,Student,16,0,1383062,Rural,0.92,0
1,Not Graduate,Yes,6912228,12217477,180,596,8024297,525882,Male,Single,23,Student,16,0,1503712,Semi-Urban,1.77,0
4,Not Graduate,No,7849015,1249894,240,893,7935177,138967,Male,Married,47,Business,15,0,9845314,Rural,0.16,1
0,Not Graduate,Yes,2599021,4491353,6,842,8954019,283687,Female,Married,36,Govt Job,12,0,9200756,Urban,1.73,1
2,Graduate,No,3079642,17610252,36,654,587336,194484,Female,Married,46,Business,1,0,224102,Rural,5.72,0
1,Not Graduate,Yes,1666005,18000892,36,446,9100713,4272648,Male,Divorced,44,Govt Job,5,0,2349166,Semi-Urban,10.8,0
0,Not Graduate,No,3537705,12467964,6,563,3825763,2745031,Male,Married,24,Student,12,0,1076725,Semi-Urban,3.52,0
0,Graduate,No,9258538,2515579,180,800,6739687,2274624,Female,Single,30,Salaried,3,0,850480,Rural,0.27,1
0,Graduate,No,1987034,4345350,120,667,793647,4724764,Male,Single,32,Business,19,0,8508593,Semi-Urban,2.19,1
1,Graduate,No,8550770,7763557,6,747,907753,2550509,Male,Divorced,22,Govt Job,13,0,4020800,Urban,0.91,1
0,Not Graduate,No,205218,19951407,240,727,682829,525404,Female,Single,53,Salaried,25,0,6807064,Rural,97.22,1
2,Not Graduate,Yes,3028502,16801019,6,665,8903222,1649894,Female,Single,41,Salaried,22,0,3163254,Rural,5.55,1
3,Not Graduate,No,718139,8628193,12,732,2638612,2810683,Female,Divorced,44,Salaried,27,0,7390402,Urban,12.01,1
3,Not Graduate,No,3317742,895130,6,303,2802591,4401179,Female,Single,39,Govt Job,10,0,870010,Semi-Urban,0.27,0
4,Graduate,No,3460606,13816050,36,628,9899344,2329574,Male,Divorced,51,Salaried,27,0,1004686,Semi-Urban,3.99,1
4,Not Graduate,No,2226571,8483950,180,624,2789121,672053,Male,Single,24,Business,10,0,1930991,Rural,3.81,0
4,Graduate,No,1485933,2912243,6,483,491827,4496105,Male,Divorced,64,Salaried,14,0,1277000,Urban,1.96,0
3,Graduate,Yes,8983921,11276501,12,834,4013377,1364051,Female,Married,64,Business,23,0,4026867,Urban,1.26,1
2,Not Graduate,No,3768995,8803347,24,399,6087170,4017228,Male,Divorced,48,Retired,2,0,4496548,Rural,2.34,0
2,Not Graduate,No,1729735,5241418,120,896,3283591,1305102,Male,Divorced,52,Business,15,0,4775131,Rural,3.03,1
1,Graduate,No,886140,18472632,12,656,7678442,3957234,Male,Single,57,Salaried,18,0,4555806,Rural,20.85,0
4,Not Graduate,No,9471896,4097893,12,629,4858287,1284856,Female,Married,36,Retired,12,1,2974569,Rural,0.43,0
0,Not Graduate,Yes,9136289,11385418,180,857,9060082,4246322,Female,Divorced,50,Govt Job,7,0,1647539,Rural,1.25,1
1,Not Graduate,Yes,1708171,17133625,6,472,979861,59909,Male,Married,57,Salaried,23,0,4139490,Rural,10.03,0
2,Graduate,Yes,5033186,8634882,120,535,4324273,4240683,Female,Married,21,Business,29,1,400411,Rural,1.72,0
1,Graduate,Yes,5056893,19686621,240,417,5863026,4739112,Female,Single,59,Govt Job,1,0,1225918,Urban,3.89,0
